Publisher_Nintendo,Critic_Count,User_Count,Critic_Score,Year_of_Release,Platform_GB,Platform_NES,User_Score,Platform_X360,Platform_PC,Platform_Wii,Publisher_Other,Genre_Platform,Global_Sales
0,13.0,364.0,89.0,1998.0,0,0,9.2,0,0,0,1,0,5.82
1,65.0,197.0,87.0,2009.0,0,0,8.8,0,0,0,0,0,5.78
0,8.0,102.0,89.0,1996.0,0,0,8.9,0,0,0,0,0,5.74
0,95.0,5380.0,76.0,2014.0,0,0,6.1,0,0,0,0,0,5.64
0,17.0,62.0,80.0,2007.0,0,0,8.9,0,0,1,1,0,5.64
0,35.0,21.0,67.0,2006.0,0,0,7.2,0,0,0,1,0,5.63
1,0.0,0.0,71.0,1988.0,0,1,7.5,0,0,0,0,0,5.58
1,0.0,0.0,71.0,1999.0,0,0,7.5,0,0,0,0,0,5.55
0,70.0,1202.0,91.0,2009.0,0,0,8.6,0,0,0,0,0,5.55
0,77.0,1074.0,81.0,2007.0,0,0,7.7,1,0,0,0,0,5.54
0,90.0,516.0,92.0,2009.0,0,0,8.0,1,0,0,1,0,5.49
1,19.0,41.0,84.0,2001.0,0,0,7.8,0,0,0,0,1,5.49
0,48.0,124.0,81.0,2008.0,0,0,8.7,0,0,0,1,0,5.48
0,42.0,2162.0,96.0,2011.0,0,0,8.6,0,0,0,1,0,5.48
0,14.0,764.0,97.0,2014.0,0,0,7.9,0,0,0,0,0,5.48
1,24.0,108.0,93.0,2001.0,0,0,8.3,0,0,0,0,0,5.47
1,0.0,0.0,71.0,2001.0,0,0,7.5,0,0,0,0,1,5.46
1,0.0,0.0,71.0,1999.0,0,0,7.5,0,0,0,0,0,5.45
0,22.0,156.0,66.0,2001.0,0,0,7.1,0,0,0,1,1,5.42
0,45.0,409.0,85.0,2008.0,0,0,7.6,0,0,0,0,0,5.39
0,113.0,7064.0,93.0,2016.0,0,0,7.9,0,0,0,0,0,5.38
1,0.0,0.0,71.0,1989.0,1,0,7.5,0,0,0,0,0,5.34
0,83.0,2483.0,83.0,2009.0,0,0,7.3,0,0,0,1,0,5.33
1,0.0,0.0,71.0,1999.0,1,0,7.5,0,0,0,0,0,5.31
0,22.0,779.0,94.0,2000.0,0,0,8.9,0,0,0,1,0,5.3
0,61.0,1196.0,84.0,2012.0,0,0,6.7,1,0,0,0,0,5.29
0,45.0,400.0,85.0,2003.0,0,0,6.6,0,0,0,0,0,5.29
1,0.0,0.0,71.0,1999.0,0,0,7.5,0,0,0,0,1,5.27
0,53.0,898.0,81.0,2014.0,0,0,5.4,0,0,0,0,0,5.27
0,0.0,0.0,71.0,2014.0,0,0,7.5,0,0,0,0,0,5.26
0,82.0,1305.0,90.0,2009.0,0,0,8.8,1,0,0,0,0,5.26
0,13.0,0.0,85.0,1997.0,0,0,7.5,0,0,0,1,0,5.24
0,29.0,140.0,94.0,2007.0,0,0,8.5,0,0,0,0,0,5.23
1,0.0,0.0,71.0,2013.0,0,0,7.5,0,0,0,0,0,5.23
1,70.0,733.0,84.0,2012.0,0,0,8.1,0,0,0,0,1,5.22
0,63.0,245.0,89.0,2004.0,0,0,8.8,0,0,0,1,0,5.21
1,0.0,0.0,71.0,2003.0,0,0,7.5,0,0,0,0,1,5.2
1,72.0,147.0,85.0,2007.0,0,0,8.6,0,0,0,0,0,5.19
1,0.0,0.0,71.0,1994.0,1,0,7.5,0,0,0,0,1,5.19
0,48.0,403.0,90.0,2012.0,0,0,6.1,1,0,0,0,0,5.16
1,0.0,0.0,71.0,1995.0,0,0,7.5,0,0,0,0,1,5.15
0,86.0,9629.0,88.0,2012.0,0,0,4.0,0,1,0,0,0,5.14
0,30.0,100.0,68.0,2003.0,0,0,7.6,0,0,0,0,0,5.13
1,0.0,0.0,71.0,1992.0,1,0,7.5,0,0,0,0,1,5.13
0,0.0,0.0,71.0,1996.0,0,0,7.5,0,1,0,1,0,5.12
0,69.0,112.0,92.0,2006.0,0,0,8.5,0,0,0,1,0,5.12
0,88.0,604.0,80.0,2010.0,0,0,6.5,1,0,0,1,0,5.1
